"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","256","test_opens_the_shop[chromium]","tests.ui","2026-07-26","passed","2026-07-26","","test_first","",""
"","117","test_put_replaces_every_field","tests.api","2026-07-26","passed","2026-07-26","","test_booking_crud","",""
"","58","test_patch_changes_only_the_fields_sent","tests.api","2026-07-26","passed","2026-07-26","","test_booking_crud","",""
"","347","test_inventory_sorts_by_price_low_to_high[chromium]","tests.ui","2026-07-26","passed","2026-07-26","","test_pom","",""
"","332","test_valid_credentials_return_a_token","tests.api","2026-07-26","passed","2026-07-26","","test_auth","",""
"","58","test_ping_reports_the_api_is_up","tests.api","2026-07-26","passed","2026-07-26","","test_ping","",""
"","114","test_all_ids_includes_our_booking","tests.api","2026-07-26","passed","2026-07-26","","test_booking_ids","",""
"","173","test_delete_removes_the_booking","tests.api","2026-07-26","passed","2026-07-26","","test_booking_crud","",""
"","58","test_created_booking_can_be_retrieved_by_id","tests.api","2026-07-26","passed","2026-07-26","","test_booking_crud","",""
"","115","test_create_booking_returns_id_and_echoes_the_payload","tests.api","2026-07-26","passed","2026-07-26","","test_booking_crud","",""
"","367","test_login_adds_item[chromium]","tests.ui","2026-07-26","passed","2026-07-26","","test_pom","",""
"","59","test_filtering_by_name_finds_our_booking","tests.api","2026-07-26","passed","2026-07-26","","test_booking_ids","",""
